PARAMETERS
Model Used,hrnet
Timestamp,20260214T072758
RMS Reprojection Error,1.48
Distance Between Cameras,126.33
Angle Between Cameras (deg),0.00
Human Height Provided,168.00
Original Calculated Height,178.33
Scale Factor Applied,0.9421
Height Difference,10.33

JOINT COORDINATES (mm)
Body Part,Left X,Left Y,Left Z,Right X,Right Y,Right Z
eye,890.19,796.50,-3167.21,826.56,787.32,-3126.82
ear,936.56,802.58,-3271.48,747.09,814.03,-3276.74
shoulder,1009.56,614.29,-3368.21,658.64,609.16,-3321.51
elbow,1060.08,315.34,-3472.32,581.14,312.80,-3381.18
wrist,1092.84,22.29,-3429.80,556.58,34.59,-3341.77
hip,915.45,27.80,-3488.85,687.11,30.83,-3430.81
knee,869.79,-418.55,-3606.16,676.32,-411.75,-3555.57
ankle,849.30,-821.73,-3725.70,650.94,-827.91,-3717.07
heel,0.00,0.00,0.00,0.00,0.00,0.00
foot,0.00,0.00,0.00,0.00,0.00,0.00
nose,863.36,763.07,-3135.04,,,

SEGMENT LENGTHS (cm)
Segment,Left Length,Right Length,Difference
Humerus,30.20,29.40,0.80
Radius,28.07,26.57,1.49
Femur,43.69,43.33,0.36
Tibia,39.66,42.12,2.46
Shoulder Width,33.35,,
Hip Width,22.20,,
Torso Length,56.01,,

JOINT ANGLES (degrees)
Joint,Left Angle,Right Angle,Difference
Shoulder,30.20,27.91,2.29
Elbow,152.66,158.68,6.02
Hip,166.62,165.37,1.25
Knee,176.63,174.21,2.42
Ankle,0.00,0.00,0.00
