--- JOINT COORDINATES ---
Body Part,Left X,Left Y,Left Z,Right X,Right Y,Right Z
ankle,613.93,-723.37,-3493.05,524.90,-708.15,-3409.70
ear,683.15,757.71,-3053.34,590.99,745.23,-3012.86
elbow,1049.59,597.69,-3205.08,184.88,600.02,-3133.59
eye,658.38,755.22,-3006.22,615.48,745.26,-2979.94
eye_inner,648.43,752.19,-2996.75,623.32,746.41,-2982.03
eye_outer,668.99,757.70,-3015.65,607.94,743.64,-2977.44
foot,646.39,-805.24,-3373.88,498.00,-813.49,-3343.50
heel,599.55,-770.47,-3501.58,533.49,-767.08,-3456.48
hip,701.69,53.01,-3215.17,513.82,48.33,-3150.10
index,1370.55,640.19,-3272.51,-174.34,650.15,-3166.92
knee,650.91,-345.26,-3375.02,508.16,-335.67,-3287.91
mouth,653.90,694.32,-3020.56,622.46,685.49,-2990.89
nose,634.39,713.60,-2982.01,,,
pinky,1369.63,630.81,-3309.00,-165.54,634.47,-3153.90
shoulder,798.72,598.81,-3165.39,450.19,593.36,-3077.31
thumb,1340.89,632.29,-3255.13,-144.15,642.74,-3148.89
wrist,1287.12,616.99,-3269.00,-88.87,631.00,-3164.41
"
--- SEGMENT LENGTHS ---"
Limb/Segment,Left Length,Right Length,Difference
Shoulder Width,35.95,35.95,0.00
Hip Width,19.89,19.89,0.00
Torso Length,54.91,54.91,0.00
L Humerus,25.40,25.40,0.00
R Humerus,27.13,27.13,0.00
L Radius,24.67,24.67,0.00
R Radius,27.72,27.72,0.00
L Femur,43.21,43.21,0.00
R Femur,40.80,40.80,0.00
L Tibia,39.78,39.78,0.00
R Tibia,39.22,39.22,0.00
L Ankle to Heel,5.00,5.00,0.00
R Ankle to Heel,7.57,7.57,0.00
L Heel to Toe,14.04,14.04,0.00
R Heel to Toe,12.72,12.72,0.00
L Hand Length,8.67,8.67,0.00
R Hand Length,8.76,8.76,0.00
"
--- JOINT ANGLES ---"
Name,Left Angle,Right Angle,Difference
L Shoulder,58.30,58.30,0.00
R Shoulder,58.91,58.91,0.00
L Elbow,172.30,172.30,0.00
R Elbow,172.53,172.53,0.00
L Hip,163.20,163.20,0.00
R Hip,165.81,165.81,0.00
L Knee,175.28,175.28,0.00
R Knee,176.37,176.37,0.00
L Ankle,166.67,166.67,0.00
R Ankle,159.33,159.33,0.00
"
--- PARAMETERS ---"
Human Height Calculated,168.00
RMS Left-Right Keypoints,551.75
Distance Between Cameras,1263.25
Angle Between Cameras (deg),-178.98
Human Height Provided,168.00
