Joint,Left-X,Left-Y,Left-Z,Right-X,Right-Y,Right-Z
head,427.91,-524.25,3309.82,413.24,501.86,3574.02
l_shoulder,614.76,-371.69,3471.82,601.94,359.67,3510.30
r_shoulder,204.59,-373.85,3494.77,205.24,359.15,3510.04
l_elbow,882.97,-380.87,3504.98,886.90,344.40,3480.56
r_elbow,-72.94,-382.30,3485.78,-73.41,344.72,3484.42
l_wrist,1162.90,-390.21,3488.76,1165.78,354.25,3478.33
r_wrist,-365.53,-393.97,3490.57,-356.33,351.59,3475.57
l_hand,1255.61,-408.87,3508.16,1260.60,348.32,3459.90
r_hand,-459.83,-401.92,3501.21,-451.61,347.11,3464.96
l_hip,518.54,257.05,3516.77,473.01,-245.17,3561.42
r_hip,310.16,249.84,3463.63,334.10,-243.83,3563.14
l_knee,485.10,695.12,3594.25,513.78,-652.40,3558.94
r_knee,316.72,683.91,3544.05,290.88,-661.82,3553.20
l_ankle,453.74,1120.87,3686.67,495.69,-1095.76,3511.88
r_ankle,336.29,1108.37,3625.14,310.74,-1106.58,3507.34
l_foot,432.02,1176.97,3713.00,526.69,-1156.18,3644.76
r_foot,356.36,1180.62,3695.20,277.49,-1159.88,3645.15
neck,410.35,-372.77,3483.26,405.60,430.98,3518.90
pelvis,413.55,253.42,3490.00,402.94,-145.91,3565.00
spine1,,,,400.22,-21.11,3526.63
spine2,,,,409.03,132.83,3530.69
spine3,,,,409.54,194.77,3554.65
l_collar,,,,498.31,330.25,3522.53
r_collar,,,,316.17,325.90,3518.52

Joint Length,Left,Right,Difference
Upper Arm,28.69,28.02,0.67
Forearm,27.91,28.31,0.41
Full Arm,56.48,56.27,0.21
Thigh,40.93,42.03,1.11
Shin,44.62,44.76,0.13
Full Leg,85.23,86.49,1.25
Shoulder Width,39.67,,
Hip Width,13.89,,
Torso (Pelvis to Neck),57.87,,
Spine (Pelvis to Spine3),34.09,,
Neck to Head,9.01,,
Arm Span,171.88,,
Inseam (avg),86.17,,
Chest Circumference,105.30,,
Waist Circumference,105.77,,
Hip Circumference,107.92,,

Joint Angles,Left,Right,Difference
Elbow,172.5,174.4,1.9
Knee,170.1,170.4,0.3
Shoulder,162.8,163.0,0.3
Hip,150.5,150.8,0.3

RMS-Difference,,,
Length between Cameras,1263.25,,
Height of Human-calculated,165.73,,
Height from Mesh,175.21,,
Height of Human-user-provided,,,
