Joint,Left-X,Left-Y,Left-Z,Right-X,Right-Y,Right-Z
head,424.04,-525.58,3334.37,412.06,-502.05,3575.42
l_shoulder,616.29,-368.20,3443.52,601.50,-359.16,3510.73
r_shoulder,203.11,-371.62,3479.55,202.77,-358.66,3510.78
l_elbow,882.38,-381.34,3484.69,887.54,-343.73,3481.05
r_elbow,-82.99,-384.12,3512.75,-76.85,-344.18,3485.12
l_wrist,1164.70,-390.12,3483.61,1167.86,-353.57,3478.63
r_wrist,-372.49,-391.61,3499.13,-361.08,-350.92,3475.96
l_hand,1259.25,-408.96,3515.21,1263.18,-347.83,3459.99
r_hand,-463.08,-399.48,3506.28,-456.85,-346.57,3465.38
l_hip,514.59,262.05,3532.35,471.02,247.68,3562.09
r_hip,320.44,247.89,3419.40,333.07,246.30,3563.71
l_knee,477.77,702.08,3630.63,512.37,656.32,3560.10
r_knee,323.27,680.50,3517.89,289.49,665.80,3554.03
l_ankle,447.75,1128.79,3715.01,494.03,1101.50,3513.19
r_ankle,336.72,1108.06,3622.93,309.58,1112.36,3508.30
l_foot,424.85,1189.77,3745.24,525.37,1162.06,3646.65
r_foot,353.42,1185.75,3704.62,276.05,1165.86,3646.75
neck,410.78,-369.90,3461.44,404.17,-430.76,3520.14
pelvis,415.94,254.86,3474.96,401.47,148.37,3565.57
spine1,,,,398.72,23.07,3526.84
spine2,,,,407.79,-131.78,3531.29
spine3,,,,408.23,-194.13,3554.77
l_collar,,,,497.29,-329.90,3523.07
r_collar,,,,314.43,-325.45,3519.13

Joint Length,Left,Right,Difference
Upper Arm,28.80,28.12,0.68
Forearm,28.05,28.45,0.40
Full Arm,56.73,56.50,0.23
Thigh,41.07,42.19,1.11
Shin,44.80,44.94,0.13
Full Leg,85.55,86.82,1.26
Shoulder Width,39.87,,
Hip Width,13.80,,
Torso (Pelvis to Neck),58.09,,
Spine (Pelvis to Spine3),34.27,,
Neck to Head,9.06,,
Arm Span,172.66,,
Inseam (avg),86.50,,
Chest Circumference,105.66,,
Waist Circumference,105.36,,
Hip Circumference,107.51,,

Joint Angles,Left,Right,Difference
Elbow,172.6,174.5,1.9
Knee,170.1,170.4,0.3
Shoulder,162.9,163.1,0.2
Hip,150.7,151.0,0.3

RMS-Difference,,,
Length between Cameras,1263.25,,
Height of Human-calculated,166.28,,
Height from Mesh,7.79,,
Height of Human-user-provided,,,
